name,function,systematicName,allInteractors.participant.symbol,allInteractors.participant.secondaryIdentifier,allInteractors.biologicalRole,allInteractors.stoichiometry,allInteractors.type,identifier,properties,accession,allInteractors.participant.genes.primaryIdentifier,complex.link
a-agglutinin,"Cell surface mannoproteins that mediate cell-cell adhesion of haploid cells during mating. The a- and alpha-agglutinins, expressed by MATa and MATalpha cells, respectively, interact directly with 1:1 stoichiometry. Exposure to the pheromone expressed by the opposite mating type induces agglutinin expression and thus facilitates the agglutination reaction.",AGA1:AGA2,Aga1p,YNR044W,unspecified role,1.0,protein,EBI:EBI-2620181,?,CPX-1838,SGD:S000005327,https://www.yeastgenome.org/complex/CPX-1838
a-agglutinin,"Cell surface mannoproteins that mediate cell-cell adhesion of haploid cells during mating. The a- and alpha-agglutinins, expressed by MATa and MATalpha cells, respectively, interact directly with 1:1 stoichiometry. Exposure to the pheromone expressed by the opposite mating type induces agglutinin expression and thus facilitates the agglutination reaction.",AGA1:AGA2,Aga2p,YGL032C,unspecified role,1.0,protein,EBI:EBI-2620181,?,CPX-1838,SGD:S000003000,https://www.yeastgenome.org/complex/CPX-1838
"alpha-1,6-mannosyltransferase complex, M-Pol II variant","Role in the initiation and extension of an alpha -1,6-linked polymannose backbone as a first step in mannan synthesis, a branched polymer attached to the glycans of many of the proteins destined for the cell wall. May play the major role in the the extension of the mannan backbone after it is initiated by M-Pol I (CPX-1672).",ANP1:HOC1:MNN9:MNN10:MNN11,Anp1p,YEL036C,?,?,protein,EBI:EBI-2625503,?,CPX-1839,SGD:S000000762,https://www.yeastgenome.org/complex/CPX-1839
"alpha-1,6-mannosyltransferase complex, M-Pol II variant","Role in the initiation and extension of an alpha -1,6-linked polymannose backbone as a first step in mannan synthesis, a branched polymer attached to the glycans of many of the proteins destined for the cell wall. May play the major role in the the extension of the mannan backbone after it is initiated by M-Pol I (CPX-1672).",ANP1:HOC1:MNN9:MNN10:MNN11,Hoc1p,YJR075W,?,?,protein,EBI:EBI-2625503,?,CPX-1839,SGD:S000003836,https://www.yeastgenome.org/complex/CPX-1839
"alpha-1,6-mannosyltransferase complex, M-Pol II variant","Role in the initiation and extension of an alpha -1,6-linked polymannose backbone as a first step in mannan synthesis, a branched polymer attached to the glycans of many of the proteins destined for the cell wall. May play the major role in the the extension of the mannan backbone after it is initiated by M-Pol I (CPX-1672).",ANP1:HOC1:MNN9:MNN10:MNN11,Mnn10p,YDR245W,unspecified role,?,protein,EBI:EBI-2625503,?,CPX-1839,SGD:S000002653,https://www.yeastgenome.org/complex/CPX-1839
"alpha-1,6-mannosyltransferase complex, M-Pol II variant","Role in the initiation and extension of an alpha -1,6-linked polymannose backbone as a first step in mannan synthesis, a branched polymer attached to the glycans of many of the proteins destined for the cell wall. May play the major role in the the extension of the mannan backbone after it is initiated by M-Pol I (CPX-1672).",ANP1:HOC1:MNN9:MNN10:MNN11,Mnn11p,YJL183W,unspecified role,?,protein,EBI:EBI-2625503,?,CPX-1839,SGD:S000003719,https://www.yeastgenome.org/complex/CPX-1839
"alpha-1,6-mannosyltransferase complex, M-Pol II variant","Role in the initiation and extension of an alpha -1,6-linked polymannose backbone as a first step in mannan synthesis, a branched polymer attached to the glycans of many of the proteins destined for the cell wall. May play the major role in the the extension of the mannan backbone after it is initiated by M-Pol I (CPX-1672).",ANP1:HOC1:MNN9:MNN10:MNN11,Mnn9p,YPL050C,?,?,protein,EBI:EBI-2625503,?,CPX-1839,SGD:S000005971,https://www.yeastgenome.org/complex/CPX-1839
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog1p,YGL223C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003191,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog1p,YGL223C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003191,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog1p,YGL223C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003191,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog1p,YGL223C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003191,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog1p,YGL223C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003191,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog2p,YGR120C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003352,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog2p,YGR120C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003352,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog2p,YGR120C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000003352,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog3p,YER157W,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000000959,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog3p,YER157W,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000000959,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog4p,YPR105C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000006309,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog5p,YNL051W,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004996,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog5p,YNL051W,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004996,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog6p,YNL041C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004986,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog6p,YNL041C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004986,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog6p,YNL041C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004986,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog7p,YGL005C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000002973,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog7p,YGL005C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000002973,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog8p,YML071C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004536,https://www.yeastgenome.org/complex/CPX-1840
COG Golgi transport complex,"Peripheral membrane oligomeric protein complex which acts as a retrograde vesicle tethering factor in intra-Golgi protein trafficking, bringing cargo vesicles in close proximity to their target compartment. May play a role in protein glycosylation by directly or indirectly effecting transport, retention, or retrieval to appropriate cisternae of resident Golgi glycosylation enzymes.",COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8,Cog8p,YML071C,unspecified role,?,protein,EBI:EBI-2627646,"M.W. = approx. 800 kDa. Composed of eight subunits that are located in two lobes; Lobe A contains COG1-4, and Lobe B is composed of COG5-8 with COG1 acting as a bridging subunit between the two COG lobes.",CPX-1840,SGD:S000004536,https://www.yeastgenome.org/complex/CPX-1840
Histone H2A phosphatase complex,"Dephosphorylates gammaH2AX, a required step in efficient recovery from the DNA damage checkpoint following a double-strand break repair. The phosphatase appears to target gammaH2AX after its displacement from DNA.",PPH3:PSY2:PSY4,Pph3p,YDR075W,?,?,protein,EBI:EBI-2639000,?,CPX-1846,SGD:S000002482,https://www.yeastgenome.org/complex/CPX-1846
Histone H2A phosphatase complex,"Dephosphorylates gammaH2AX, a required step in efficient recovery from the DNA damage checkpoint following a double-strand break repair. The phosphatase appears to target gammaH2AX after its displacement from DNA.",PPH3:PSY2:PSY4,Psy2p,YNL201C,?,?,protein,EBI:EBI-2639000,?,CPX-1846,SGD:S000005145,https://www.yeastgenome.org/complex/CPX-1846
Histone H2A phosphatase complex,"Dephosphorylates gammaH2AX, a required step in efficient recovery from the DNA damage checkpoint following a double-strand break repair. The phosphatase appears to target gammaH2AX after its displacement from DNA.",PPH3:PSY2:PSY4,Psy4p,YBL046W,?,?,protein,EBI:EBI-2639000,?,CPX-1846,SGD:S000000142,https://www.yeastgenome.org/complex/CPX-1846
ATG12-ATG5 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation. Contributes to nutrition homeostasis and damage control in eukaryotic cells.   Acts as an E3-like ligase. This activity is dependent on ATP and two enzymes, ATG7 (P38862)  an E1-like activating enzyme and ATG10 (Q07879) an E2-like conjugating enzyme. Required for lipidation of ATG8 (P38182) (e.g. to phosphatidylethanolamine) and associates with the vesicle membranes once bound to ATG16 (CPX-1849).",ATG5:ATG12,Atg12p,YBR217W,unspecified role,1.0,protein,EBI:EBI-2639439,The ubiquitin-like molecule ATG12 is covalently conjugated to ATG5 via a glycyl-lysine isopeptide resulting from the sequential reactions of ATG7 and the E2-like enzyme ATG10.,CPX-1848,SGD:S000000421,https://www.yeastgenome.org/complex/CPX-1848
ATG12-ATG5 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation. Contributes to nutrition homeostasis and damage control in eukaryotic cells.   Acts as an E3-like ligase. This activity is dependent on ATP and two enzymes, ATG7 (P38862)  an E1-like activating enzyme and ATG10 (Q07879) an E2-like conjugating enzyme. Required for lipidation of ATG8 (P38182) (e.g. to phosphatidylethanolamine) and associates with the vesicle membranes once bound to ATG16 (CPX-1849).",ATG5:ATG12,Atg5p,YPL149W,unspecified role,1.0,protein,EBI:EBI-2639439,The ubiquitin-like molecule ATG12 is covalently conjugated to ATG5 via a glycyl-lysine isopeptide resulting from the sequential reactions of ATG7 and the E2-like enzyme ATG10.,CPX-1848,SGD:S000006070,https://www.yeastgenome.org/complex/CPX-1848
ATG12-ATG5-ATG16 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation.   Functions as an E3-like enzyme in the ATG8 conjugation system. The ATG12-ATG5-ATG16 complex targets the autophagic membrane via the ATG5-ATG16 complex moiety and then recruits an ATG3:ATG8 thioester intermediate via the interaction between ATG3 and ATG12. The ATG12-ATG5 (CPX-1848) conjugate facilitates the transfer reaction of ATG8 from ATG3 to phosphatidylethanolamine (PE) through a reorganization of the catalytic centre of the E2-like enzyme ATG3. The C-terminal glycine of ATG8 is then conjugated to the amine moiety of PE. The role of ATG16, which has no E3-like activity appears to be to target the ATG12-ATG5 conjugate to the autophagic membranes. ATG8-PE/ATG12-ATG5 complexes form homogeneous oligomers, comprising two to four subunits. ATG16 may then act to reorganize ATG8-PE/ATG12-ATG5 oligomers to form a continuous, flat protein layer with meshwork-like architecture on membranes.",4xATG5:4xATG12:4xATG16,Atg12p,YBR217W,unspecified role,4.0,protein,EBI:EBI-2639844,"ATG12 is constitutively conjugated to ATG5, via a glycyl-lysine isopeptide. Formation of the complex is mediated by ATG16 homo-oligomerization. 

MW ~ 350kDa",CPX-1849,SGD:S000000421,https://www.yeastgenome.org/complex/CPX-1849
ATG12-ATG5-ATG16 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation.   Functions as an E3-like enzyme in the ATG8 conjugation system. The ATG12-ATG5-ATG16 complex targets the autophagic membrane via the ATG5-ATG16 complex moiety and then recruits an ATG3:ATG8 thioester intermediate via the interaction between ATG3 and ATG12. The ATG12-ATG5 (CPX-1848) conjugate facilitates the transfer reaction of ATG8 from ATG3 to phosphatidylethanolamine (PE) through a reorganization of the catalytic centre of the E2-like enzyme ATG3. The C-terminal glycine of ATG8 is then conjugated to the amine moiety of PE. The role of ATG16, which has no E3-like activity appears to be to target the ATG12-ATG5 conjugate to the autophagic membranes. ATG8-PE/ATG12-ATG5 complexes form homogeneous oligomers, comprising two to four subunits. ATG16 may then act to reorganize ATG8-PE/ATG12-ATG5 oligomers to form a continuous, flat protein layer with meshwork-like architecture on membranes.",4xATG5:4xATG12:4xATG16,Atg16p,YMR159C,unspecified role,4.0,protein,EBI:EBI-2639844,"ATG12 is constitutively conjugated to ATG5, via a glycyl-lysine isopeptide. Formation of the complex is mediated by ATG16 homo-oligomerization. 

MW ~ 350kDa",CPX-1849,SGD:S000004769,https://www.yeastgenome.org/complex/CPX-1849
ATG12-ATG5-ATG16 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation.   Functions as an E3-like enzyme in the ATG8 conjugation system. The ATG12-ATG5-ATG16 complex targets the autophagic membrane via the ATG5-ATG16 complex moiety and then recruits an ATG3:ATG8 thioester intermediate via the interaction between ATG3 and ATG12. The ATG12-ATG5 (CPX-1848) conjugate facilitates the transfer reaction of ATG8 from ATG3 to phosphatidylethanolamine (PE) through a reorganization of the catalytic centre of the E2-like enzyme ATG3. The C-terminal glycine of ATG8 is then conjugated to the amine moiety of PE. The role of ATG16, which has no E3-like activity appears to be to target the ATG12-ATG5 conjugate to the autophagic membranes. ATG8-PE/ATG12-ATG5 complexes form homogeneous oligomers, comprising two to four subunits. ATG16 may then act to reorganize ATG8-PE/ATG12-ATG5 oligomers to form a continuous, flat protein layer with meshwork-like architecture on membranes.",4xATG5:4xATG12:4xATG16,Atg5p,YPL149W,unspecified role,4.0,protein,EBI:EBI-2639844,"ATG12 is constitutively conjugated to ATG5, via a glycyl-lysine isopeptide. Formation of the complex is mediated by ATG16 homo-oligomerization. 

MW ~ 350kDa",CPX-1849,SGD:S000006070,https://www.yeastgenome.org/complex/CPX-1849
ATG12-ATG5-ATG16 complex,"Essential for autophagy during nutrient deprivation, a catabolic process that sequesters undesired cellular material into autophagosomes for delivery to lysosomes for degradation.   Functions as an E3-like enzyme in the ATG8 conjugation system. The ATG12-ATG5-ATG16 complex targets the autophagic membrane via the ATG5-ATG16 complex moiety and then recruits an ATG3:ATG8 thioester intermediate via the interaction between ATG3 and ATG12. The ATG12-ATG5 (CPX-1848) conjugate facilitates the transfer reaction of ATG8 from ATG3 to phosphatidylethanolamine (PE) through a reorganization of the catalytic centre of the E2-like enzyme ATG3. The C-terminal glycine of ATG8 is then conjugated to the amine moiety of PE. The role of ATG16, which has no E3-like activity appears to be to target the ATG12-ATG5 conjugate to the autophagic membranes. ATG8-PE/ATG12-ATG5 complexes form homogeneous oligomers, comprising two to four subunits. ATG16 may then act to reorganize ATG8-PE/ATG12-ATG5 oligomers to form a continuous, flat protein layer with meshwork-like architecture on membranes.",4xATG5:4xATG12:4xATG16,Atg5p,YPL149W,unspecified role,4.0,protein,EBI:EBI-2639844,"ATG12 is constitutively conjugated to ATG5, via a glycyl-lysine isopeptide. Formation of the complex is mediated by ATG16 homo-oligomerization. 

MW ~ 350kDa",CPX-1849,SGD:S000006070,https://www.yeastgenome.org/complex/CPX-1849
Anthranilate synthase complex,"Catalyses the conversion of chorismic acid to anthranilic acid in the first step in the tryptophan branch of aromatic amino acid biosynthesis. Tryptophan-specific regulation of enzyme activity level occurs through feedback regulation by the end product of the pathway, regulated by a tryptophan regulatory element (62LLESAKTNNELDRYS76) within Trp2. Component I (Trp2) and Component II (Trp3) are required for   glutamine-dependent ASase activity while component I can use ammonia as cosubstrate without need of complex formation. . The C-terminal half of Trp3 also has indole-3-glycerol phosphate synthase activity.",TRP2:TRP3,Trp2p,YER090W,unspecified role,1.0,protein,EBI:EBI-2640371,Mol. Wt. = 130kDa,CPX-1850,SGD:S000000892,https://www.yeastgenome.org/complex/CPX-1850
Anthranilate synthase complex,"Catalyses the conversion of chorismic acid to anthranilic acid in the first step in the tryptophan branch of aromatic amino acid biosynthesis. Tryptophan-specific regulation of enzyme activity level occurs through feedback regulation by the end product of the pathway, regulated by a tryptophan regulatory element (62LLESAKTNNELDRYS76) within Trp2. Component I (Trp2) and Component II (Trp3) are required for   glutamine-dependent ASase activity while component I can use ammonia as cosubstrate without need of complex formation. . The C-terminal half of Trp3 also has indole-3-glycerol phosphate synthase activity.",TRP2:TRP3,Trp3p,YKL211C,unspecified role,1.0,protein,EBI:EBI-2640371,Mol. Wt. = 130kDa,CPX-1850,SGD:S000001694,https://www.yeastgenome.org/complex/CPX-1850
RPD3S histone deacetylase complex,"Histone deacetylase which functions by deacetylating chromatin, thereby limiting accessibility of the transcriptional machinery to the underlying DNA.. Rpd3S recognizes the SET2 methylated histones and deacetylates histones within transcribed sequences. This erases transcription elongation-associated histone acetylation and serves to repress the occurrence of spurious transcription initiation from cryptic start sites within open reading frames. May also act to promote nucleosome assembly like a histone chaperone and prevent RSC-dependent histone eviction from nucleosomes",EAF3:RCO1:RPD3:SIN3:UME1,Eaf3p,YPR023C,?,?,protein,EBI:EBI-2640858,Mol. Wt. = 600kDa,CPX-1851,SGD:S000006227,https://www.yeastgenome.org/complex/CPX-1851
RPD3S histone deacetylase complex,"Histone deacetylase which functions by deacetylating chromatin, thereby limiting accessibility of the transcriptional machinery to the underlying DNA.. Rpd3S recognizes the SET2 methylated histones and deacetylates histones within transcribed sequences. This erases transcription elongation-associated histone acetylation and serves to repress the occurrence of spurious transcription initiation from cryptic start sites within open reading frames. May also act to promote nucleosome assembly like a histone chaperone and prevent RSC-dependent histone eviction from nucleosomes",EAF3:RCO1:RPD3:SIN3:UME1,Rco1p,YMR075W,?,?,protein,EBI:EBI-2640858,Mol. Wt. = 600kDa,CPX-1851,SGD:S000004680,https://www.yeastgenome.org/complex/CPX-1851
